Country,IncludingNMSCNumberMortality,IncludingNMSCRateMortality,NumericCode,Latitude,Longitude,PrevalenceCases,IncludingNMSCNumberIncidence,IncludingNMSCRateIncidence,Continent
Sao Tome and Principe,90,68.0,678,0.9713095,7.02255,83.1,144,104.9,Africa
Saudi Arabia,"13,399",46.2,682,25.6242618,42.3528328,67.96,"28,113",87.1,Asia
Senegal,"8,134",81.6,686,14.4750607,-14.4529612,58.18,"11,841",113.9,Africa
Serbia,"23,881",128.4,688,44.0243229,21.0765743,182.67,"42,039",250.4,Europe
Sierra Leone,"1,334",25.5,694,8.6400349,-11.8400269,44.41,"1,918",35.9,Africa
Singapore,"13,277",110.8,702,1.357107,103.8194992,191.71,"25,250",231.1,Asia
Slovakia,"15,166",125.7,703,48.7411522,19.4528646,225.78,"30,913",283.3,Europe
Slovenia,"6,898",116.7,705,46.1199444,14.8153333,255.9,"14,402",305.1,Europe
Solomon Islands,365,74.6,90,-8.7053941,159.1070694,84.2,684,134.8,Oceania
Somalia,"8,038",95.5,706,8.3676771,49.083416,38.65,"10,681",121.0,Africa
South Africa,"64,547",122.5,710,-28.8166236,24.991639,133.5,"111,321",203.4,Africa
South Korea,"97,615",77.0,410,36.638392,127.6961188,192.49,"237,701",234.7,Asia
South Sudan,"5,081",76.3,728,7.8699431,29.6667897,43.02,"6,874",99.4,Africa
Spain,"115,590",88.8,724,39.3260685,-4.8379791,228.68,"278,729",274.6,Europe
Sri Lanka,"19,145",59.0,144,7.5554942,80.7137847,75.14,"33,243",106.9,Asia
Sudan,"18,504",64.4,729,14.5844444,29.4917691,47.09,"28,586",95.6,Africa
Suriname,626,91.5,740,4.1413025,-56.0771187,120.95,"1,119",169.5,South America
Sweden,"25,569",85.2,752,59.6749712,14.5208584,277.8,"69,261",310.0,Europe
Syria,"13,848",91.0,760,34.8147886,38.4231781,74.74,"21,926",138.6,Asia
Tajikistan,"4,225",63.9,762,38.6281733,70.8156541,55.69,"6,467",91.7,Asia
Tanzania,"29,743",97.1,834,-6.5247123,35.7878438,72.21,"44,931",140.1,Africa
Thailand,"118,829",93.4,764,14.8971921,100.83273,105.88,"183,541",154.4,Asia
Togo,"3,605",74.0,768,8.7800265,1.0199765,54.26,"5,491",107.5,Africa
Trinidad and Tobago,"2,221",96.8,780,10.7466905,-61.0840075,139.39,"3,931",186.7,North America
Tunisia,"12,580",80.2,788,33.8439408,9.400138,90.63,"20,551",135.4,Africa
TÃƒÂ¼rkiye,"129,672",116.1,792,39.294076,35.2316631,165.05,"240,013",225.9,Asia
Turkmenistan,"4,456",82.5,795,39.3763807,59.3924609,79.81,"6,807",122.7,Asia
Uganda,"24,629",113.9,800,1.5333554,32.2166578,82.61,"35,968",154.4,Africa
Ukraine,"84,153",101.1,804,49.4871968,31.2718321,143.33,"155,239",199.9,Europe
United Arab Emirates,"2,283",54.4,784,24.0002488,53.9994829,84.87,"5,526",105.1,Asia
United Kingdom,"181,807",98.3,826,54.7023545,-3.2765753,263.24,"454,954",307.8,Europe
United States,"605,761",82.3,840,39.7837304,-100.445882,314.59,"2,380,189",367.0,North America
Uruguay,"8,980",128.3,858,-32.8755548,-56.0201525,208.81,"16,817",279.9,South America
Uzbekistan,"22,071",71.5,860,41.32373,63.9528098,74.48,"35,900",112.7,Asia
Vanuatu,151,67.8,548,-16.5255069,168.1069154,77.79,250,108.2,Oceania
Venezuela,"31,737",91.3,862,8.0018709,-66.1109318,121.56,"62,947",184.8,South America
Vietnam,"120,184",99.0,704,15.9266657,107.9650855,95.39,"180,480",150.8,Asia
Yemen,"11,854",63.7,887,16.3471243,47.8915271,40.48,"16,525",83.1,Asia
Switzerland,"19,420",78.8,756,46.7985624,8.2319736,259.39,"58,330",292.7,Europe
Nepal,"14,704",55.3,524,28.3780464,83.9999901,45.39,"22,008",81.6,Asia
Zambia,"9,770",109.2,894,-14.5189121,27.5589884,85.57,"15,296",159.5,Africa
Zimbabwe,"11,739",144.0,716,-18.4554963,29.7468414,113.77,"17,725",208.0,Africa
